date,symbol,weight
2026-02-26 15:20:21-05:00,ROIV 260320C00029000,0.0125
2026-02-26 15:20:21-05:00,ROIV 260320P00029000,0.0125
2026-02-26 15:20:21-05:00,GMED 260320C00095000,0.0125
2026-02-26 15:20:21-05:00,GMED 260320P00095000,0.0125
2026-02-26 15:20:21-05:00,CYTK 260417C00070000,0.0125
2026-02-26 15:20:21-05:00,CYTK 260417P00070000,0.0125
2026-02-26 15:20:21-05:00,EXEL 260417C00045000,0.0125
2026-02-26 15:20:21-05:00,EXEL 260417P00045000,0.0125
2026-02-26 15:20:21-05:00,MDGL 260320C00440000,0.0125
2026-02-26 15:20:21-05:00,MDGL 260320P00440000,0.0125
2026-02-26 15:20:21-05:00,GRMN 260320C00250000,0.0125
2026-02-26 15:20:21-05:00,GRMN 260320P00250000,0.0125
2026-02-26 15:20:21-05:00,LRN 260320C00080000,0.0125
2026-02-26 15:20:21-05:00,LRN 260320P00080000,0.0125
2026-02-26 15:20:21-05:00,DOCS 260320C00025000,0.0125
2026-02-26 15:20:21-05:00,DOCS 260320P00025000,0.0125
2026-02-26 15:20:21-05:00,G 260320C00040000,0.0125
2026-02-26 15:20:21-05:00,G 260320P00040000,0.0125
2026-02-26 15:20:21-05:00,MSI 260320C00470000,0.0125
2026-02-26 15:20:21-05:00,MSI 260320P00470000,0.0125
2026-02-26 15:20:21-05:00,FFIV 260320C00280000,0.0125
2026-02-26 15:20:21-05:00,FFIV 260320P00280000,0.0125
2026-02-26 15:20:21-05:00,CROX 260320C00095000,0.0125
2026-02-26 15:20:21-05:00,CROX 260320P00095000,0.0125
2026-02-26 15:20:21-05:00,ELF 260327C00094000,0.0125
2026-02-26 15:20:21-05:00,ELF 260327P00094000,0.0125
2026-02-26 15:20:21-05:00,AVTR 260417C00009000,0.0125
2026-02-26 15:20:21-05:00,AVTR 260417P00009000,0.0125
2026-02-26 15:20:21-05:00,HUM 260327C00175000,0.0125
2026-02-26 15:20:21-05:00,HUM 260327P00175000,0.0125
2026-02-26 15:20:21-05:00,META 260327C00650000,0.0125
2026-02-26 15:20:21-05:00,META 260327P00650000,0.0125
2026-02-26 15:20:21-05:00,SFM 260320C00075000,0.0125
2026-02-26 15:20:21-05:00,SFM 260320P00075000,0.0125
2026-02-26 15:20:21-05:00,DECK 260327C00119000,0.0125
2026-02-26 15:20:21-05:00,DECK 260327P00119000,0.0125
2026-02-26 15:20:21-05:00,TSLA 260327C00415000,0.0125
2026-02-26 15:20:21-05:00,TSLA 260327P00415000,0.0125
2026-02-26 15:20:21-05:00,KEYS 260320C00310000,0.0125
2026-02-26 15:20:21-05:00,KEYS 260320P00310000,0.0125
2026-02-26 15:20:21-05:00,MTZ 260320C00290000,-0.0125
2026-02-26 15:20:21-05:00,MTZ 260320P00290000,-0.0125
2026-02-26 15:20:21-05:00,SNOW 260327C00165000,-0.0125
2026-02-26 15:20:21-05:00,SNOW 260327P00165000,-0.0125
2026-02-26 15:20:21-05:00,PATH 260327C00010000,-0.0125
2026-02-26 15:20:21-05:00,PATH 260327P00010000,-0.0125
2026-02-26 15:20:21-05:00,NKE 260327C00064000,-0.0125
2026-02-26 15:20:21-05:00,NKE 260327P00064000,-0.0125
2026-02-26 15:20:21-05:00,CASY 260320C00680000,-0.0125
2026-02-26 15:20:21-05:00,CASY 260320P00680000,-0.0125
2026-02-26 15:20:21-05:00,DRI 260320C00210000,-0.0125
2026-02-26 15:20:21-05:00,DRI 260320P00210000,-0.0125
2026-02-26 15:20:21-05:00,EME 260320C00810000,-0.0125
2026-02-26 15:20:21-05:00,EME 260320P00810000,-0.0125
2026-02-26 15:20:21-05:00,IOT 260327C00027000,-0.0125
2026-02-26 15:20:21-05:00,IOT 260327P00027000,-0.0125
2026-02-26 15:20:21-05:00,OKTA 260327C00072000,-0.0125
2026-02-26 15:20:21-05:00,OKTA 260327P00072000,-0.0125
2026-02-26 15:20:21-05:00,WIX 260320C00065000,-0.0125
2026-02-26 15:20:21-05:00,WIX 260320P00065000,-0.0125
2026-02-26 15:20:21-05:00,MTN 260320C00140000,-0.0125
2026-02-26 15:20:21-05:00,MTN 260320P00140000,-0.0125
2026-02-26 15:20:21-05:00,ZM 260327C00086000,-0.0125
2026-02-26 15:20:21-05:00,ZM 260327P00086000,-0.0125
2026-02-26 15:20:21-05:00,HEI 260320C00340000,-0.0125
2026-02-26 15:20:21-05:00,HEI 260320P00340000,-0.0125
2026-02-26 15:20:21-05:00,TGT 260327C00116000,-0.0125
2026-02-26 15:20:21-05:00,TGT 260327P00116000,-0.0125
2026-02-26 15:20:21-05:00,DOCU 260320C00043000,-0.0125
2026-02-26 15:20:21-05:00,DOCU 260320P00043000,-0.0125
2026-02-26 15:20:21-05:00,NTNX 260320C00037500,-0.0125
2026-02-26 15:20:21-05:00,NTNX 260320P00037500,-0.0125
2026-02-26 15:20:21-05:00,GAP 260320C00028000,-0.0125
2026-02-26 15:20:21-05:00,GAP 260320P00028000,-0.0125
2026-02-26 15:20:21-05:00,ANF 260327C00096000,-0.0125
2026-02-26 15:20:21-05:00,ANF 260327P00096000,-0.0125
2026-02-26 15:20:21-05:00,MDB 260327C00315000,-0.0125
2026-02-26 15:20:21-05:00,MDB 260327P00315000,-0.0125
2026-02-26 15:20:21-05:00,ESTC 260320C00060000,-0.0125
2026-02-26 15:20:21-05:00,ESTC 260320P00060000,-0.0125
